                                                                                     name                                                                                     |                                                                                               description                                                                                               | price |      brand      | stock_quantity |                                                                                                                    image_url                                                                                                                    |             category_id              |                  id                  |         created_at         |         updated_at         
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+-----------------+----------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------+--------------------------------------+----------------------------+----------------------------
 Capacity Tote Shoulder Bag                                                                                                                                                   | Capacity Tote Shoulder Bag is a high-quality product.                                                                                                                                                   | 21.76 | Brand-Capacity  |             32 | http://localhost:5000/SE/img/0d2d4185-705e-498b-a761-953df6cf5b5a.Capacity_Tote_Shoulder_Bag.jpeg                                                                                                                                               | 164e6103-c403-45b3-beeb-ed53945433eb | 0d2d4185-705e-498b-a761-953df6cf5b5a | 2024-09-14 19:05:50.782768 | 2024-09-14 19:05:50.820849
 Choc Gift Hamper                                                                                                                                                             | Choc Gift Hamper is a high-quality product.                                                                                                                                                             | 27.52 | Brand-Choc      |             93 | http://localhost:5000/SE/img/892e1ef2-da33-429b-8fd7-1ba36c8376b2.Choc_Gift_Hamper.jpeg                                                                                                                                                         | 164e6103-c403-45b3-beeb-ed53945433eb | 892e1ef2-da33-429b-8fd7-1ba36c8376b2 | 2024-09-14 19:05:50.891008 | 2024-09-14 19:05:50.921493
 Creative Bridemaid Proposal Gifts                                                                                                                                            | Creative Bridemaid Proposal Gifts is a high-quality product.                                                                                                                                            |  20.1 | Brand-Creative  |             69 | http://localhost:5000/SE/img/3a7104be-84a7-4111-9fa3-4bfaaff2ceb5.Creative_Bridemaid_Proposal_Gifts.jpeg                                                                                                                                        | ebdb4510-8c53-4583-a7ef-362401865b93 | 3a7104be-84a7-4111-9fa3-4bfaaff2ceb5 | 2024-09-14 19:05:50.996509 | 2024-09-14 19:05:51.042246
 Elegant Flats Black                                                                                                                                                          | Elegant Flats Black is a high-quality product.                                                                                                                                                          | 21.52 | Brand-Elegant   |             44 | http://localhost:5000/SE/img/69e6a527-4b60-4d8a-b9f5-518a32fa9612.Elegant_Flats_Black.jpeg                                                                                                                                                      | 56902750-1ecd-47d1-a72a-7f585e5af0c1 | 69e6a527-4b60-4d8a-b9f5-518a32fa9612 | 2024-09-14 19:05:51.121038 | 2024-09-14 19:05:51.153127
 Full Length Mirror                                                                                                                                                           | Full Length Mirror is a high-quality product.                                                                                                                                                           | 37.28 | Brand-Full      |             53 | http://localhost:5000/SE/img/9e99cf9a-af2c-44bb-8c17-294a43a40012.Full_Length_Mirror.jpeg                                                                                                                                                       | 7f47baf0-6f64-44ac-a79e-0d500c03089d | 9e99cf9a-af2c-44bb-8c17-294a43a40012 | 2024-09-14 19:05:51.256413 | 2024-09-14 19:05:51.286847
 GIFT SET  Kitchen Refresh - Cashmere                                                                                                                                         | GIFT SET  Kitchen Refresh - Cashmere is a high-quality product.                                                                                                                                         | 33.76 | Brand-GIFT      |             26 | http://localhost:5000/SE/img/4bafc3cb-d050-498c-9103-fdc16a95b0a6.GIFT_SET__Kitchen_Refresh_-_Cashmere.jpeg                                                                                                                                     | a1fd5987-ff57-4022-949f-bf9bc1f14e8a | 4bafc3cb-d050-498c-9103-fdc16a95b0a6 | 2024-09-14 19:05:51.382441 | 2024-09-14 19:05:51.419942
 Gold Neckpiece                                                                                                                                                               | Gold Neckpiece is a high-quality product.                                                                                                                                                               |  86.9 | Brand-Gold      |              4 | http://localhost:5000/SE/img/06cba5e6-7e65-4bc7-b123-60d047b68879.Gold_Neckpiece.jpeg                                                                                                                                                           | 8f401782-dd87-4590-9ccd-a5293d4a5b36 | 06cba5e6-7e65-4bc7-b123-60d047b68879 | 2024-09-14 19:05:51.469649 | 2024-09-14 19:05:51.497666
 House warming gift hamper                                                                                                                                                    | House warming gift hamper is a high-quality product.                                                                                                                                                    | 54.55 | Brand-House     |             79 | http://localhost:5000/SE/img/bba917a5-6004-4164-ae27-d2566717d35d.House_warming_gift_hamper.jpeg                                                                                                                                                | 53625a26-0b32-4e47-a6ef-780b1096b1e4 | bba917a5-6004-4164-ae27-d2566717d35d | 2024-09-14 19:05:51.548767 | 2024-09-14 19:05:51.587923
 Iconic Bangle Watch - Silver-Tone                                                                                                                                            | Iconic Bangle Watch - Silver-Tone is a high-quality product.                                                                                                                                            |  88.4 | Brand-Iconic    |              5 | http://localhost:5000/SE/img/c08f5c5c-392d-4b1c-9ed7-3d3e8c27dcae.Iconic_Bangle_Watch_-_Silver-Tone.jpeg                                                                                                                                        | 164e6103-c403-45b3-beeb-ed53945433eb | c08f5c5c-392d-4b1c-9ed7-3d3e8c27dcae | 2024-09-14 19:05:51.67146  | 2024-09-14 19:05:51.708977
